"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"7811 S ELLIS AVE","7811","S","ELLIS","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=7811%20and%20direction=%27S%27%20and%20street_name=%27ELLIS%27%20and%20street_type=%27AVE%27)",,,,"41.75278980874692","-87.60022514034442","POINT (-87.60022514034442 41.75278980874692)"
"7823 S MARQUETTE AVE","7823","S","MARQUETTE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=7823%20and%20direction=%27S%27%20and%20street_name=%27MARQUETTE%27%20and%20street_type=%27AVE%27)",,,,,,"41.752939772064984","-87.55832064092648","POINT (-87.55832064092648 41.752939772064984)"
"7846 S AVALON AVE","7846","S","AVALON","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=7846%20and%20direction=%27S%27%20and%20street_name=%27AVALON%27%20and%20street_type=%27AVE%27)",,,,,,"41.751828523522704","-87.5944294781007","POINT (-87.5944294781007 41.751828523522704)"
"7919 S EXCHANGE AVE","7919","S","EXCHANGE","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=7919%20and%20direction=%27S%27%20and%20street_name=%27EXCHANGE%27%20and%20street_type=%27AVE%27)",,,"41.75131378734173","-87.55274181841926","POINT (-87.55274181841926 41.75131378734173)"
"7927 S CICERO AVE","7927","S","CICERO","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=7927%20and%20direction=%27S%27%20and%20street_name=%27CICERO%27%20and%20street_type=%27AVE%27)",,,"41.748550298834466","-87.74116695055054","POINT (-87.74116695055054 41.748550298834466)"
"8051 S INGLESIDE AVE","8051","S","INGLESIDE","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=8051%20and%20direction=%27S%27%20and%20street_name=%27INGLESIDE%27%20and%20street_type=%27AVE%27)",,"41.74798791839277","-87.60130654750405","POINT (-87.60130654750405 41.74798791839277)"
"8049 S EXCHANGE AVE","8049","S","EXCHANGE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=8049%20and%20direction=%27S%27%20and%20street_name=%27EXCHANGE%27%20and%20street_type=%27AVE%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=8049%20and%20direction=%27S%27%20and%20street_name=%27EXCHANGE%27%20and%20street_type=%27AVE%27)",,,,"41.74862710472769","-87.55269082804652","POINT (-87.55269082804652 41.74862710472769)"
"8142 S STONY ISLAND AVE","8142","S","STONY ISLAND","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=8142%20and%20direction=%27S%27%20and%20street_name=%27STONY%20ISLAND%27%20and%20street_type=%27AVE%27)",,,,,,,"41.746562578279615","-87.58600918685785","POINT (-87.58600918685785 41.746562578279615)"
"822 W 22ND PL","822","W","22ND","PL",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=822%20and%20direction=%27W%27%20and%20street_name=%2722ND%27%20and%20street_type=%27PL%27)",,,"41.85183945190759","-87.64723236387438","POINT (-87.64723236387438 41.85183945190759)"
"8251 S ELLIS AVE","8251","S","ELLIS","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=8251%20and%20direction=%27S%27%20and%20street_name=%27ELLIS%27%20and%20street_type=%27AVE%27)",,,"41.744350107589526","-87.59999395707655","POINT (-87.59999395707655 41.744350107589526)"
