"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13448266","JH248402","2024-05-02T22:20:00.000","029XX W 25TH ST","0810","THEFT","OVER $500","STREET","false","false","1033","010","24","30","06","1156921","1887255","2024","2024-05-10T15:41:51.000","41.846398939","-87.699599365","
,  
(41.846398939, -87.699599365)"
"13448110","JH248211","2024-05-02T22:13:00.000","017XX W JONQUIL TER","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2422","024","49","1","08B","1163581","1950997","2024","2024-05-10T15:41:51.000","42.021173233","-87.673356697","
,  
(42.021173233, -87.673356697)"
"13448077","JH248233","2024-05-02T22:13:00.000","001XX N LEAMINGTON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1532","015","28","25","14","1142014","1900787","2024","2024-05-10T15:41:51.000","41.883821373","-87.753972789","
,  
(41.883821373, -87.753972789)"
"13448058","JH248200","2024-05-02T22:06:00.000","043XX W AUGUSTA BLVD","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","ALLEY","true","false","1111","011","37","23","15","1147334","1906312","2024","2024-05-10T15:41:51.000","41.898882364","-87.734295396","
,  
(41.898882364, -87.734295396)"
"13448180","JH248246","2024-05-02T22:05:00.000","026XX S KEELER AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","false","1031","010","22","30","04A","1148811","1886127","2024","2024-05-10T15:41:51.000","41.84346393","-87.729392017","
,  
(41.84346393, -87.729392017)"
"13448921","JH248820","2024-05-02T22:05:00.000","004XX W DEMING PL","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","1935","019","43","7","14","1172484","1917450","2024","2024-05-10T15:41:51.000","41.928926549","-87.641590871","
,  
(41.928926549, -87.641590871)"
"13448093","JH248193","2024-05-02T22:04:00.000","040XX N CICERO AVE","0860","THEFT","RETAIL THEFT","DRUG STORE","false","false","1624","016","45","15","06","1143644","1926627","2024","2024-05-10T15:41:51.000","41.954698652","-87.747338823","
,  
(41.954698652, -87.747338823)"
"13448279","JH248432","2024-05-02T22:00:00.000","014XX W WINNEMAC AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","2033","020","47","3","07","1165531","1933596","2024","2024-05-10T15:41:51.000","41.973382997","-87.66667929","
,  
(41.973382997, -87.66667929)"
"13449491","JH248602","2024-05-02T22:00:00.000","025XX W ARTHUR AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2412","024","50","2","14","1158049","1943047","2024","2024-05-10T15:41:51.000","41.999473426","-87.693932915","
,  
(41.999473426, -87.693932915)"
"13448335","JH248553","2024-05-02T22:00:00.000","044XX N ASHLAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","false","false","1912","019","47","3","14","1164856","1929534","2024","2024-05-10T15:41:51.000","41.962251097","-87.669277187","
,  
(41.962251097, -87.669277187)"
