"zip_code","week_number","week_start","week_end","cases_weekly","cases_cumulative","case_rate_weekly","case_rate_cumulative","tests_weekly","tests_cumulative","test_rate_weekly","test_rate_cumulative","percent_tested_positive_weekly","percent_tested_positive_cumulative","deaths_weekly","deaths_cumulative","death_rate_weekly","death_rate_cumulative","population","row_id","zip_code_location"
"60624","12","2023-03-19T00:00:00.000","2023-03-25T00:00:00.000","26","9491","71.9","26248.7","1162","216484","3213.7","598716.7","0.028","0.048","0","118","0","326.3","36158","60624-2023-12","POINT (-87.722735 41.879417)"
"60624","13","2023-03-26T00:00:00.000","2023-04-01T00:00:00.000","19","9510","52.5","26301.2","1175","217659","3249.6","601966.4","0.017","0.048","0","118","0","326.3","36158","60624-2023-13","POINT (-87.722735 41.879417)"
"60624","18","2023-04-30T00:00:00.000","2023-05-06T00:00:00.000","21","9591","58.1","26525.3","970","222247","2682.7","614655.1","0.022","0.047","0","118","0","326.3","36158","60624-2023-18","POINT (-87.722735 41.879417)"
"60617","51","2020-12-13T00:00:00.000","2020-12-19T00:00:00.000","233","5697","282.3","6902.6","2375","54360","2877.6","65863.8","0.128","0.119","5","113","6.1","136.9","82534","60617-2020-51","POINT (-87.556897 41.721257)"
"60617","52","2020-12-20T00:00:00.000","2020-12-26T00:00:00.000","165","5862","199.9","7102.5","1647","56007","1995.5","67859.3","0.118","0.119","6","119","7.3","144.2","82534","60617-2020-52","POINT (-87.556897 41.721257)"
"60617","53","2020-12-27T00:00:00.000","2021-01-02T00:00:00.000","211","6073","255.7","7358.2","1703","57710","2063.4","69922.7","0.149","0.12","2","121","2.4","146.6","82534","60617-2020-53","POINT (-87.556897 41.721257)"
"60624","19","2023-05-07T00:00:00.000","2023-05-13T00:00:00.000","18","9609","49.8","26575","877","223124","2425.5","617080.6","0.009","0.047","0","118","0","326.3","36158","60624-2023-19","POINT (-87.722735 41.879417)"
"60624","2","2023-01-08T00:00:00.000","2023-01-14T00:00:00.000","42","9111","116.2","25197.7","1409","204024","3896.8","564256.9","0.03","0.049","0","118","0","326.3","36158","60624-2023-2","POINT (-87.722735 41.879417)"
"60624","20","2023-05-14T00:00:00.000","2023-05-20T00:00:00.000","9","9618","24.9","26599.9","712","223836","1969.1","619049.7","0.013","0.047","0","118","0","326.3","36158","60624-2023-20","POINT (-87.722735 41.879417)"
"60624","21","2023-05-21T00:00:00.000","2023-05-27T00:00:00.000","10","9628","27.7","26627.6","694","224530","1919.4","620969.1","0.017","0.047","0","118","0","326.3","36158","60624-2023-21","POINT (-87.722735 41.879417)"
"60624","22","2023-05-28T00:00:00.000","2023-06-03T00:00:00.000","7","9635","19.4","26646.9","503","225033","1391.1","622360.2","0.018","0.047","1","119","2.8","329.1","36158","60624-2023-22","POINT (-87.722735 41.879417)"
"60618","13","2022-03-27T00:00:00.000","2022-04-02T00:00:00.000","152","18017","161","19086.8","5149","351555","5454.7","372429.7","0.033","0.06","0","170","0","180.1","94395","60618-2022-13","POINT (-87.703343 41.946699)"
"60603","51","2022-12-18T00:00:00.000","2022-12-24T00:00:00.000","1","416","85.2","35434.4","12","11697","1022.1","996337.3","0.083","0.042","0","0","0","0","1174","60603-2022-51","POINT (-87.625473 41.880112)"
"60603","7","2022-02-13T00:00:00.000","2022-02-19T00:00:00.000","3","257","255.5","21891","156","9252","13287.9","788075","0.026","0.034","0","0","0","0","1174","60603-2022-7","POINT (-87.625473 41.880112)"
"60603","21","2023-05-21T00:00:00.000","2023-05-27T00:00:00.000","1","433","85.2","36882.5","5","12023","425.9","1024106","0.2","0.042","0","0","0","0","1174","60603-2023-21","POINT (-87.625473 41.880112)"
"60617","10","2021-03-07T00:00:00.000","2021-03-13T00:00:00.000","51","7116","61.8","8621.9","1545","73858","1872","89488","0.034","0.111","1","147","1.2","178.1","82534","60617-2021-10","POINT (-87.556897 41.721257)"
"60617","12","2021-03-21T00:00:00.000","2021-03-27T00:00:00.000","82","7268","99.4","8806.1","1514","76888","1834.4","93159.2","0.061","0.109","1","149","1.2","180.5","82534","60617-2021-12","POINT (-87.556897 41.721257)"
"60617","13","2021-03-28T00:00:00.000","2021-04-03T00:00:00.000","89","7357","107.8","8913.9","1624","78512","1967.7","95126.9","0.065","0.108","1","150","1.2","181.7","82534","60617-2021-13","POINT (-87.556897 41.721257)"
"60617","14","2021-04-04T00:00:00.000","2021-04-10T00:00:00.000","195","7552","236.3","9150.2","1992","80504","2413.6","97540.4","0.105","0.108","2","152","2.4","184.2","82534","60617-2021-14","POINT (-87.556897 41.721257)"
"60617","15","2021-04-11T00:00:00.000","2021-04-17T00:00:00.000","159","7711","192.6","9342.8","1847","82351","2237.9","99778.3","0.103","0.108","4","156","4.8","189","82534","60617-2021-15","POINT (-87.556897 41.721257)"
"60617","16","2021-04-18T00:00:00.000","2021-04-24T00:00:00.000","108","7819","130.9","9473.7","1921","84272","2327.5","102105.8","0.075","0.107","3","159","3.6","192.6","82534","60617-2021-16","POINT (-87.556897 41.721257)"
"60617","18","2021-05-02T00:00:00.000","2021-05-08T00:00:00.000","94","8050","113.9","9753.6","1842","88111","2231.8","106757.2","0.065","0.106","2","164","2.4","198.7","82534","60617-2021-18","POINT (-87.556897 41.721257)"
"60617","19","2021-05-09T00:00:00.000","2021-05-15T00:00:00.000","91","8141","110.3","9863.8","1685","89796","2041.6","108798.8","0.066","0.105","0","164","0","198.7","82534","60617-2021-19","POINT (-87.556897 41.721257)"
"60617","2","2021-01-10T00:00:00.000","2021-01-16T00:00:00.000","208","6527","252","7908.3","2034","61844","2464.4","74931.5","0.129","0.121","2","125","2.4","151.5","82534","60617-2021-2","POINT (-87.556897 41.721257)"
"60617","20","2021-05-16T00:00:00.000","2021-05-22T00:00:00.000","87","8228","105.4","9969.2","1880","91676","2277.8","111076.6","0.059","0.104","3","167","3.6","202.3","82534","60617-2021-20","POINT (-87.556897 41.721257)"
"60617","21","2021-05-23T00:00:00.000","2021-05-29T00:00:00.000","53","8281","64.2","10033.4","1808","93484","2190.6","113267.3","0.038","0.103","0","167","0","202.3","82534","60617-2021-21","POINT (-87.556897 41.721257)"
"60617","24","2021-06-13T00:00:00.000","2021-06-19T00:00:00.000","4","8327","4.8","10089.2","1193","97302","1445.5","117893.2","0.006","0.1","0","168","0","203.6","82534","60617-2021-24","POINT (-87.556897 41.721257)"
"60617","25","2021-06-20T00:00:00.000","2021-06-26T00:00:00.000","6","8333","7.3","10096.4","1411","98713","1709.6","119602.8","0.006","0.098","0","168","0","203.6","82534","60617-2021-25","POINT (-87.556897 41.721257)"
"60617","27","2021-07-04T00:00:00.000","2021-07-10T00:00:00.000","12","8350","14.5","10117","1362","101620","1650.2","123125","0.01","0.096","0","169","0","204.8","82534","60617-2021-27","POINT (-87.556897 41.721257)"
"60617","28","2021-07-11T00:00:00.000","2021-07-17T00:00:00.000","24","8374","29.1","10146.1","1154","102774","1398.2","124523.2","0.021","0.095","0","169","0","204.8","82534","60617-2021-28","POINT (-87.556897 41.721257)"
"60617","29","2021-07-18T00:00:00.000","2021-07-24T00:00:00.000","34","8408","41.2","10187.3","1217","103991","1474.5","125997.8","0.027","0.094","0","169","0","204.8","82534","60617-2021-29","POINT (-87.556897 41.721257)"
"60617","3","2021-01-17T00:00:00.000","2021-01-23T00:00:00.000","161","6688","195.1","8103.3","1850","63694","2241.5","77173","0.109","0.121","2","127","2.4","153.9","82534","60617-2021-3","POINT (-87.556897 41.721257)"
"60617","32","2021-08-08T00:00:00.000","2021-08-14T00:00:00.000","93","8633","112.7","10459.9","2100","109136","2544.4","132231.6","0.053","0.092","0","170","0","206","82534","60617-2021-32","POINT (-87.556897 41.721257)"
"60617","33","2021-08-15T00:00:00.000","2021-08-21T00:00:00.000","85","8718","103","10562.9","2822","111958","3419.2","135650.8","0.033","0.09","0","170","0","206","82534","60617-2021-33","POINT (-87.556897 41.721257)"
"60617","34","2021-08-22T00:00:00.000","2021-08-28T00:00:00.000","86","8804","104.2","10667.1","3007","114965","3643.3","139294.1","0.03","0.089","2","172","2.4","208.4","82534","60617-2021-34","POINT (-87.556897 41.721257)"
"60617","35","2021-08-29T00:00:00.000","2021-09-04T00:00:00.000","85","8889","103","10770.1","2223","117188","2693.4","141987.5","0.043","0.088","2","174","2.4","210.8","82534","60617-2021-35","POINT (-87.556897 41.721257)"
"60617","36","2021-09-05T00:00:00.000","2021-09-11T00:00:00.000","116","9005","140.5","10910.7","2120","119308","2568.6","144556.2","0.055","0.087","0","174","0","210.8","82534","60617-2021-36","POINT (-87.556897 41.721257)"
"60624","23","2023-06-04T00:00:00.000","2023-06-10T00:00:00.000","6","9641","16.6","26663.5","223","225256","616.7","622976.9","0.027","0.047","0","119","0","329.1","36158","60624-2023-23","POINT (-87.722735 41.879417)"
"60624","24","2023-06-11T00:00:00.000","2023-06-17T00:00:00.000","6","9647","16.6","26680.1","193","225449","533.8","623510.7","0.031","0.047","0","119","0","329.1","36158","60624-2023-24","POINT (-87.722735 41.879417)"
