"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG249164","2023-05-05T10:10:00.000","007XX N LA SALLE DR","0820","THEFT","$500 AND UNDER","SIDEWALK","N","N","1832","42","06","1175007","1905244","41.89537651","-87.632686147","
,  
(41.89537651, -87.632686147)"
"JG248761","2023-05-05T10:15:00.000","013XX N MILWAUKEE AVE","0860","THEFT","RETAIL THEFT","DRUG STORE","N","N","1424","1","06","1164309","1909321","41.906797102","-87.671861659","
,  
(41.906797102, -87.671861659)"
"JG250108","2023-05-05T10:15:00.000","027XX N CALIFORNIA AVE","0820","THEFT","$500 AND UNDER","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1411","1","06","1157241","1918050","41.930896787","-87.697587655","
,  
(41.930896787, -87.697587655)"
"JG248798","2023-05-05T10:25:00.000","016XX W 47TH ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","924","15","06","1166298","1873549","41.80859321","-87.665577234","
,  
(41.80859321, -87.665577234)"
"JG248804","2023-05-05T10:25:00.000","011XX S CANAL ST","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","Y","N","124","28","06","1173303","1895451","41.868541914","-87.639235361","
,  
(41.868541914, -87.639235361)"
"JG248828","2023-05-05T10:30:00.000","049XX S SEELEY AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","SIDEWALK","N","Y","931","15","26","1163527","1871805","41.803866096","-87.675789611","
,  
(41.803866096, -87.675789611)"
"JG249156","2023-05-05T10:30:00.000","065XX S LOWE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","723","6","14","1173160","1861620","41.775709694","-87.640761478","
,  
(41.775709694, -87.640761478)"
"JG248823","2023-05-05T10:30:00.000","079XX S EXCHANGE AVE","2210","LIQUOR LAW VIOLATION","SELL / GIVE / DELIVER LIQUOR TO MINOR","CONVENIENCE STORE","Y","N","422","7","22","1197209","1852961","41.751383531","-87.552889749","
,  
(41.751383531, -87.552889749)"
"JG248919","2023-05-05T10:30:00.000","011XX N WESTERN AVE","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","1212","1","08A","1160197","1907701","41.902437713","-87.687011559","
,  
(41.902437713, -87.687011559)"
"JG248809","2023-05-05T10:33:00.000","010XX S DESPLAINES ST","051A","ASSAULT","AGGRAVATED - HANDGUN","GAS STATION","Y","N","124","28","04A","1172075","1895787","41.869491081","-87.643733672","
,  
(41.869491081, -87.643733672)"
"JG252343","2023-05-05T10:40:00.000","010XX W LAKE ST","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","N","N","1214","27","06","1169328","1901620","41.885557376","-87.65364901","
,  
(41.885557376, -87.65364901)"
"JG249426","2023-05-05T10:48:00.000","041XX N ALBANY AVE","0560","ASSAULT","SIMPLE","APARTMENT","N","Y","1724","33","08A","1154977","1927405","41.95661333","-87.705655682","
,  
(41.95661333, -87.705655682)"
"JG248829","2023-05-05T10:52:00.000","107XX S LANGLEY AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","Y","513","9","14","1182813","1834048","41.699830252","-87.606228797","
,  
(41.699830252, -87.606228797)"
"JG248838","2023-05-05T10:55:00.000","001XX S MICHIGAN AVE","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","N","N","112","34","06","1177321","1899793","41.880366516","-87.6243529","
,  
(41.880366516, -87.6243529)"
"JG258188","2023-05-05T11:00:00.000","084XX S KOLIN AVE","0460","BATTERY","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","834","18","08B","1148889","1848181","41.739332692","-87.730082896","
,  
(41.739332692, -87.730082896)"
"JG250073","2023-05-05T11:00:00.000","037XX W DOUGLAS BLVD","0810","THEFT","OVER $500","CHURCH / SYNAGOGUE / PLACE OF WORSHIP","N","N","1011","24","06","1151467","1892947","41.86212717","-87.71946607","
,  
(41.86212717, -87.71946607)"
"JG248861","2023-05-05T11:00:00.000","067XX S WABASH AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","322","6","08B","1177887","1860303","41.771989936","-87.623472718","
,  
(41.771989936, -87.623472718)"
"JG249007","2023-05-05T11:00:00.000","025XX W COYLE AVE","0810","THEFT","OVER $500","STREET","N","N","2411","40","06","1158219","1946041","42.007685581","-87.693225183","
,  
(42.007685581, -87.693225183)"
"JG248849","2023-05-05T11:00:00.000","033XX W CHICAGO AVE","0460","BATTERY","SIMPLE","SIDEWALK","N","N","1121","27","08B","1153800","1905131","41.89551524","-87.710577387","
,  
(41.89551524, -87.710577387)"
"JG256735","2023-05-05T11:00:00.000","023XX S KIRKLAND AVE","1156","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","APARTMENT","N","N","1013","22","11","1147718","1888186","41.849135117","-87.733350341","
,  
(41.849135117, -87.733350341)"
"JG249093","2023-05-05T11:00:00.000","046XX S KEATING AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300",,"N","N","815","22","11","1145469","1873548","41.809009163","-87.741974315","
,  
(41.809009163, -87.741974315)"
"JG248995","2023-05-05T11:00:00.000","026XX W PERSHING RD","0820","THEFT","$500 AND UNDER","DEPARTMENT STORE","N","N","911","12","06","1159361","1878694","41.822856815","-87.690879645","
,  
(41.822856815, -87.690879645)"
"JG248937","2023-05-05T11:00:00.000","029XX N LAKE SHORE DR","0484","BATTERY","PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY","HOSPITAL BUILDING / GROUNDS","N","N","1934","44","08B","1173796","1919557","41.93467909","-87.636706827","
,  
(41.93467909, -87.636706827)"
"JG378411","2023-05-05T11:00:00.000","022XX W 119TH ST","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","2212","19","11","1163720","1825672","41.677266096","-87.676373405","
,  
(41.677266096, -87.676373405)"
"JG251147","2023-05-05T11:00:00.000","016XX N KEDZIE AVE","0890","THEFT","FROM BUILDING","APARTMENT","N","N","1421","26","06","1154795","1910756","41.910930872","-87.706772076","
,  
(41.910930872, -87.706772076)"
"JG248846","2023-05-05T11:00:00.000","068XX N CLARK ST","0460","BATTERY","SIMPLE","COMMERCIAL / BUSINESS OFFICE","N","N","2431","49","08B","1163668","1945354","42.00568689","-87.673196682","
,  
(42.00568689, -87.673196682)"
"JG248914","2023-05-05T11:00:00.000","023XX N CLARK ST","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","APARTMENT","N","N","1812","43","10","1173026","1915748","41.924244174","-87.63964981","
,  
(41.924244174, -87.63964981)"
